rule_count_threshold,total,pw_triggered,crs_bypassed,ml_bypassed,all_bypassed,pw_trigger_rate,crs_bypass_rate,ml_bypass_rate,pw_crs_ml_bypass_rate
1,3915,2496,0,1598,0,0.6375,0.0,0.4082,0.0
2,3915,2496,43,1598,0,0.6375,0.011,0.4082,0.0
3,3915,2496,258,1598,33,0.6375,0.0659,0.4082,0.0084
4,3915,2496,1032,1598,153,0.6375,0.2636,0.4082,0.0391
5,3915,2496,2147,1598,377,0.6375,0.5484,0.4082,0.0963
6,3915,2496,3014,1598,695,0.6375,0.7699,0.4082,0.1775
7,3915,2496,3515,1598,928,0.6375,0.8978,0.4082,0.237
8,3915,2496,3722,1598,1009,0.6375,0.9507,0.4082,0.2577
9,3915,2496,3842,1598,1025,0.6375,0.9814,0.4082,0.2618
10,3915,2496,3894,1598,1035,0.6375,0.9946,0.4082,0.2644
