rule_count_threshold,total,pw_triggered,crs_bypassed,ml_bypassed,all_bypassed,pw_trigger_rate,crs_bypass_rate,ml_bypass_rate,pw_crs_ml_bypass_rate
1,4070,2707,0,1916,0,0.6651,0.0,0.4708,0.0
2,4070,2707,34,1916,0,0.6651,0.0084,0.4708,0.0
3,4070,2707,221,1916,13,0.6651,0.0543,0.4708,0.0032
4,4070,2707,937,1916,135,0.6651,0.2302,0.4708,0.0332
5,4070,2707,2039,1916,432,0.6651,0.501,0.4708,0.1061
6,4070,2707,3121,1916,928,0.6651,0.7668,0.4708,0.228
7,4070,2707,3737,1916,1257,0.6651,0.9182,0.4708,0.3088
8,4070,2707,3972,1916,1364,0.6651,0.9759,0.4708,0.3351
9,4070,2707,4033,1916,1377,0.6651,0.9909,0.4708,0.3383
10,4070,2707,4059,1916,1382,0.6651,0.9973,0.4708,0.3396
