source,data_seed,best_epoch,TP,TN,FP,FN,FPR,FNR,Recall,F1
combined_llmdriven,1,10,2367,3967,33,1633,0.00825,0.40825,0.59175,0.7396875
combined_llmdriven,2,10,2391,3964,36,1609,0.009,0.40225,0.59775,0.7440485451999378
combined_llmdriven,3,10,2157,3965,35,1843,0.00875,0.46075,0.53925,0.6967054263565892
offical_no_think,1,10,3579,3928,72,421,0.018,0.10525,0.89475,0.9355639785648935
offical_no_think,2,10,3568,3925,75,432,0.01875,0.108,0.892,0.933664791312312
offical_no_think,3,10,3539,3934,66,461,0.0165,0.11525,0.88475,0.9307034845496384
